subject	body	cluster_id
DRAFT: INFORMATION, Please Read: UBSWE Migration postponed	Due to a variety of circumstances we did not migrate employees to the UBSWE environment tonight (Monday, February 4, 2002). We will communicate further details of the migration plan on Tuesday, February 5, 2002. Thank you for your cooperation in advance, please contact the Resolution Center at x 3-1411 should you have any questions.	2
IMPORTANT MESSAGE TO ALL EMPLOYEES PARTICIPATING IN THE ENRON CORP SAVINGS & ESOP PLANS	PLEASE READ THIS IMPORTANT INFORMATION CONCERNING THE ENRON STOCK FUND IN THE ENRON CORP. SAVINGS AND ESOP PLANS On Friday, January 11, trading of Enron stock was suspended on the New York Stock Exchange (NYSE). All Savings and ESOP Plan transactions, including 401(k) payroll contributions, involving this fund were placed in a pending status until trading resumed. As announced by Enron's Office of the Chair on Wednesday, January 16, Enron stock would now be traded Over The Counter (OTC). Upon receiving this information, work began immediately to develop a process that allows for OTC trades in the plans. On Thursday, January 17, Enron initiated a process to facilitate OTC trades of Enron stock inside the 401(k) and ESOP and all pending transactions were processed using Thursday's closing price. Now that trading has resumed, we urge you to review your investment elections to ensure that they are consistent with your investment goals. As things change, we will continue to update you.	0
New Stock Symbol	Enron announced today that its common stock will now be traded as an Over-the-Counter (OTC) equity security under the symbol "ENRNQ." This follows a decision by the New York Stock Exchange (NYSE) to file an application to delist Enron's common stock, which means that Enron's common stock and related securities are suspended from trading on the NYSE. Enron is considering whether to appeal the NYSE's decision. The NYSE has standard criteria for listing stocks, which can be found on their website at www.nyse.com. Enron recently fell below the following listing criteria: average closing price of a security less than $1.00 over a consecutive 30 trading-day period. Quotation service for Enron's stock will now be provided by the National Quotation Bureau, LLC "Pink Sheets."	1
NOTICE TO: All Current Enron Employees who Participate in the Enron Corp. Savings Plan	TO: All Current Enron Employees who Participate in the Enron Corp. Savings Plan Due to an Enron programming error in the transmission of data to the Enron Corp. Savings Plan administrator, a number of currently active employees were erroneously coded with a status of terminated on the Savings Plan system. As a result, you may have received a notice from Hewitt Associates, the Savings Plan administrator, indicating that you were a terminated employee and providing you with options for your Savings Plan account. This notice was sent in error, and should be disregarded. This situation was identified and corrected. We regret any confusion or inconvenience this may have caused. If you would like to verify that your Savings Plan employment status has been corrected, you may log in to the Savings Plan website through the Enron intranet (benefits.enron.com) or the internet (resources.hewitt.com/enron) and view your status in the "Personal Data" option off the main log-in screen. If you have further questions, please contact a representative at the Benefits Service Center at 800-332-7979, option 3. Corporate Benefits	1
Daily Update	Today we announced another positive development in our efforts to regain shareholder and market confidence, strengthen our balance sheet and help maintain our credit rating. We have executed a commitment letter with two of our longstanding banking partners, JPMorgan (the investment banking arm of JPMorgan Chase & Co.) and Salomon Smith Barney (the investment banking arm of Citigroup Inc.), that will provide us with additional secured credit lines worth $1 billion. Our Northern Natural Gas Company and Transwestern Pipeline Company will support these assets. The proceeds will be used to supplement short-term liquidity and to refinance maturing obligations. The pipelines are not being sold. Enron is only using these assets for this new credit line. Secured financing like this provides an expeditious way to increase liquidity and restore confidence. We also have the capacity to increase this facility by an additional $200 million if we bring in additional banks to participate. This money is in addition to the $3 billion in our credit lines we accessed last week to pay off short-term commercial debt and keep more than $1 billion in cash. I know it is discouraging to read the negative media coverage about our company. On a positive note, there was an editorial in last Sunday's Houston Chronicle that I want you to read: <http://www.chron.com/cs/CDA/story.hts/editorial/outlook/1107504>. This is an extremely difficult time for everyone and I appreciate everything you do for Enron. Don't forget to read our voice mail and e-mail transcripts covering these developments on the Enron Updates intranet site at (<http://home.enron.com/updates/>). Thank you.	1
Williams Energy News Live -- today's video newscast	Dear Michael, Some of the star witnesses in the Enron collapse will appear Thursday at a hearing on Capitol Hill. The question remains: Will they have anything to say? The witness list includes former Enron Chief Executive Officer Jeff Skilling and former Chief Financial Officer Andrew Fastow. Washington Bureau Chief Peter Cook says Fastow is expected to invoke his constitutional privilege not to speak, but Skilling has indicated he'll talk. We'll have live reports covering the hearing from our Washington bureau on Thursday. Homeland Security Director Tom Ridge is expected to speak in front of the National Press Club on Thursday. We'll bring you all the details on Ridge's speech from the Washington bureau on Thursday. Tomorrow in Houston, the Ziff Energy Group is hosting the North American Gas Storage Conference.	0
Invitation to 436th Operations Group Change of Command	Family, With the recent tragedy, I am unsure when the following invitation will arrive to you via the US Mail. As many of you know, the US Mail is highly dependent upon our nation's airline system for the normal on-time delivery of cross country mail (normally within 3 to 4 days) which is mailed over approximately 600 miles. For the time being (and not sure when the prohibition will be lifted) the nation's passenger carrying domestic and international aircraft will not be allowed to fly mail or cargo in the cargo holds. This measure may go away soon or measures be made for increased x-ray, etc. However, this may result in delays of mail depending upon how much the trucking and rail industry can "absorb" in the cross country movement. The following invitations to the upcoming Change of Command were mailed on Tuesday, 12th Oct by the office of the Wing Commander of the 436th Airlift Wing (Dover Air Force Base, DE) who will be "my boss". I felt it best to send this e-mail just in case the invitation does not arrive for weeks. I hope you understand. As I reflect on the weeks ahead of taking command of the flying operations and port operations of this nation's largest military aerial port and strategic airlift wing we are humbled about the talents of the great many men and women of this operations group as they fly our nation's most precious and important cargoes to all faces of this world through times of peace, contingency and if need be war. Content of the Invitation follows: Kenny and Jan ------------------- TO: Each of you and family Colonel Scott E. Wuesthoff Commander, 436th Airlift Wing requests the pleasure of your company at the passing of the colors and command of the 436th Operations Group from Colonel Mark S. Solo to Colonel Kenneth R. Carson Friday, the fifth of October Two thousand one at nine o'clock in the morning on the flightline Dover Air Force Base, Delaware (inclement weather location -- Hanger 706) Reception following immediately at The Landings (Officers Club) RSVP by 26 Sept 01 Commercial: (302) 677-3401 or 3381 e-mail: 436OG.CCE@dover.af.mil (note: you may RSVP to Jan or I or call the number or e-mail my office (e-mail above) Dress: Military: Uniform of the Day Civilian: Business Casual	1
Increased Security at Enron Center	Late on October 25th, we received information about a nonspecific threat to the Enron Center. We communicated with law enforcement officials who found the threat unsubstantiated and without merit. Nonetheless we take all threats seriously and have increased the security presence at the Enron Center still further. Once again, if you observe suspicious behavior, please call security at 3-6200.	2
Solicitation Calls	Trade press, recruiting firms and others recently have made numerous calls to Enron employees seeking information about the company, its employees and other matters. In some cases, these callers have used false identities, as in, "I'm from the SEC and I need you to provide me with?" If you receive a call from someone identifying themselves as part of a government organization, please refer the caller to the legal department. Please refer calls from the trade press and other media inquiries to the Public Relations group. And otherwise, please treat Enron information as confidential. Thank you.	0
Kristin Walsh- Questions for You	Michelle, Kristin Walsh, a manager in Competitive Analysis, is returning from maternity leave on October 15th. During Kristin's absence, the following changes have occurred in the group, and I just wanted to run them by you before we communicate them to her: 1) Kristin will only have two direct reports instead of three. 2) Previously, Kristin's team as a whole was responsible for providing ENA (i.e. John and Louise, as well as traders) with competitive intelligence. Instead of Kristen just overseeing the ENA process as a whole, Kristin and her two team members will have more specific duties, although Kristin will still be the primary point of contact for ENA. Specifically, Kristin will gather and provide intelligence info for the Gas Team, and Kelly Holman will gather and provide info for East Power, and Greg Whitman will do the same for West Power. Robert Johnston, Kristin's supervisor, and Scott Tholan, BUL, just felt like the level of service that Kristin's team was providing was not adequate because efforts were duplicated and Kristin could not provide enough "face time" with the head traders to gather and relay info, as well as directing her team. Also,after Kristin's departure, it was learned that Kristen signed a contract for which she had no authority. Although Scott does not think that this has happened before, this particular contract blew up in their face. Upon Kristin's return, Scottt, Robert, and I would like to communicate these changes to her (not in writing, just verbally), and just reitterate the fact that only Scott has the authority to sign contracts. Additionally, we would like to tell Kristin that she needs to take a management training class so that she can learn to delegate and oversee responsibilities of the group, rather than micromanaging them. Please let me know if this is going to create any additional problems, or if I need to take a different approach. As always, thanks for your help. Anne	0
Dr. Mo's notice period	Michelle, All efforts to try to get Mo to reduce his contract pay and end the separation negotiations have been unsuccessful and on August 9th, he sent me an e-mail stating that he has decided to continue his garden leave with full pay & benefits and will await "Enron's notification regarding termination according to his employment terms." We were prepared that he would come back with this and we will continue to pay him, but it's this last statement about the notification of termination that concerns me. I would have thought that our presentation of a separation agreement to him back in November would have been enough written "notification" that we do not wish to continue his employment past the contract end date, but in speaking with him further, he seems to think that its not. His contract states that if the Company terminates your employment without 12 months written notice, then the Company shall pay you the remainder of your salary for the 12 months from the date it gave your notice, in a lump sum. His contract end date is 6/30/2002 and the last thing we want to do is to pay him additional money. Please let me know what your legal interpretation of this notification clause is and whether or not we are required to give him a formal termination notice. Thanks Cathy	1
CONFIDENTIAL Personnel issue	Michelle/Lizsette; I was wondering if circumstances with Jonathan Lane (the contract Help desk person whom I mentioned to you a week or so ago) have been resolved? When we last spoke I mentioned that he went to Valeria Hope's group. I am not sure of the outcome of that visit, but I will tell you that his negative attitude and general dissatisfaction on the team is becoming disruptive to the other help desk members. He is away from his desk often (having "meetings", which may be interviews for other positions), he has shared with the other team members his perceptions of management and his issues with us. If and when I can do so, I would like to terminate him. I won't until I hear from you all, and we are documenting discussions as you requested. I hope this can end soon, though because this is causing real problems here. Gina	0
Papiers Stadacona Employee Communication	Michelle: Thanks for taking a look at this memo that Andre Sarasin of Papiers Stadacona would like to send out to his employees today. Please note that this will be issued in French, so this English translation is not perfect...but it least it gets the main message across. Please let me know what you think--both Peter and Cheryl have approved this. Thanks, Jennifer x3-9964 The management of Papiers Stadacona met yesterday and this morning the union representatives as well as the staff personnel to answer their questions concerning Papiers Stadacona's situation and its owner's. Mr. Sarasin repeated that the activities of Papers Stadacona are profitable and he has the conviction that it is in the interest of all parties concerned to continue the operations of Papers Stadacona and the Quebec Mill. In several circumstances during the last quarter of century, the different owners of our company have had financial difficulties and, in every case, the Quebec Mill continued to operate for the simple reason that it is profitable. Mr. Sarasin believes that the present situation is no exception to the rule. On the other hand, concerning questionings on the pension plan of employees, we are to be reminded that these funds are completely independent from the Company. Indeed, these are placed in trust with the Royal Trust and no creditor can have access to these funds. The current situation can evolve quickly, but whatever is the result, our strategy is to fill our obligations, i.e. to make papers and board of quality, to control our costs and to continue to improve our productivity and the efficiency of our mill.	0
FW: STRANGE CALL	I received a suspicious phone call from Kathy Delano at Portland General who was asking for the names of the employees who were still reporting to me. Kathy said that she works for Arlene Barnett (VP HR), who wants to send all of us a 25 page document. Without providing them any information, I took down their names and checked the Enron phone book. I verified that the names are Portland General HR representatives; however, I am not sure why Portland General HR would be wanting to send something to us. The number Kathy provided was (503) 464 - 8000 - which appears to be the main Portland General switch board. Maybe I am being a bit too paranoid - however - can you follow up on this.	0
Daily Update	Today was a very difficult day for us as market uncertainty continued. Recent news reports, including The Wall Street Journal article today, have speculated about possible mergers, takeovers and equity investors as options that Enron is considering. The reason you have not seen us responding to these reports is that it is our corporate policy not to comment on market speculation. However, I will tell you that we are evaluating all options to protect the financial stability of this company. I will keep you updated on developments as they occur.	1
PPW THIS WEEK	Dear Team, The electronic copy of this week's PPW has not been published at this time. I will keep you posted as soon as it is available. Thanks.	1
Norske Downtime for 1Q02	NorskeCanada announced today plans for additional curtailment for the first quarter of 2002 at its B.C. paper operations, as weak economic conditions have reduced demand for the company's products. Norske is planning to shutdown 2 paper machines until market conditions improve. No. 3 paper machine at Port Alberni and No. 1 paper machine at Elk Falls are currently scheduled for shutdown in the 1Q02. A third paper machine, No. 1 at Crofton, is also planned for shutdown during the month of January. This translates into about 34,000 MT for 1Q02 at Elk Falls (since Port Alberni produces mostly directory) and about 12,000 MT at the Crofton mill for January. Given the uncertain economic climate, the company will review curtailment plans monthly so it can be quick to respond to any upturn in market conditions. Please find the Downtime database for 2002 attached below.	0
Updated Q&As for Enron Employees	Updated questions and answers for Enron employees have just been posted to http://home.enron.com/updates/qa.html We recognize that as active employees you have special concerns and questions related to Enron's bankruptcy filing. We regret that we are not able to answer all of your questions as quickly as you deserve, but we are working to provide accurate responses to your most important questions about employee benefits, expense payments and so on. We appreciate your patience as we continue to try to provide timely and reliable information to you.	1
Electronic Pay Check	We are currently experiencing a problem with our ability to display pay checks. We are addressing the issue at this time and will provide you with updates as we have additional information. Contact: Contact: Contact Information: ISC Customer Care 713-345-4727	0
DRAFT: INFORMATION, Please Read: UBSWE Migration postponed	Due to a variety of circumstances we did not migrate employees to the UBSWE environment tonight (Monday, February 4, 2002). We will communicate further details of the migration plan on Tuesday, February 5, 2002. Thank you for your cooperation in advance, please contact the Resolution Center at x 3-1411 should you have any questions. UBSW Energy Global Infrastructure	2
