subject	body	cluster_id
Ken Lay Resigns from Board	Ken Lay announced today that he has resigned from Enron's Board of Directors. His resignation is effective immediately. In a press release, Ken said, "I want to see Enron survive and successfully emerge from reorganization. Due to the multiple inquiries and investigations, some of which are focused on me personally, I believe that my involvement has become a distraction to achieving this goal." He added, "My concern is for current and former Enron employees and other stakeholders, and I feel that it is in their best interest for me to step down from the Board."	1
Howdy!	Hi Sandra, I hope you had a nice Christmas and a fun holiday season. We as you can imagine with three 5 year old boys, it was hectic but, the look on their faces Christmas morning was priceless. I wanted to let you know that I am leaving Prebon as of January 15th. I have spent the last eight years of my 16 years in the Energy field with Prebon and we part on the best of terms. I am talking with a few banks, a consulting firm and some energy companies, but also plan on spending some time at the house with the family. I will let you know when and where I decide to go. Hopefully we can work together again in the future. Best wishes for continued success in 2002 and the years to come. Please give my best to Kenny. Sincerely, Bill	1
Enron Announces Plans to Merge with Dynegy	Today, we announced plans to merge with Dynegy, a major player in the energy marketplace and one of our largest counterparties. Dynegy is a great company with businesses very similar to our own. We believe merging with Dynegy is the best option to preserve our core businesses that you've worked so hard to build. Following are the major components of the transaction. Deal Terms -- The transaction will constitute a stock for stock exchange based on an exchange ratio of 0.2685 Dynegy shares for every Enron share. For example, each 1,000 shares of Enron stock will be converted to 268 shares of Dynegy upon closing, plus cash for fractional shares, upon closing. -- ChevronTexaco owns approximately 26 percent of Dynegy's outstanding common stock. ChevronTexaco will invest $1.5 billion in Dynegy immediately and an additional $1 billion in Dynegy on closing of the merger. Dynegy will immediately invest $1.5 billion in cash in Enron's Northern Natural Gas subsidiary in exchange for preferred stock in Northern Natural Gas. -- Total outstanding shares of the combined company are expected to be approximately 700 million shares. -- The transaction is subject to shareholder and regulatory approvals, and is expected to close late next year. Enron will have immediate access to Dynegy's $1.5 billion cash investment in Enron's Northern Natural Gas subsidiary. Management of Newly Formed Company Chuck Watson will be chairman and CEO of the newly formed company, which will be called Dynegy Inc., and Steve Bergstrom will be president and COO. I will continue to serve as chairman and CEO of Enron until the transaction closes. I will not join the Dynegy Office of the Chairman. Greg Whalley will continue to serve as president and COO of Enron until the transaction closes. Then he will become an executive vice president of the new company and will join the Dynegy Office of the Chairman. Mark Frevert will continue as vice chairman of Enron. Management from Enron and Dynegy will work together to ensure a smooth, efficient integration. The make-up of the integration team has not yet been determined. The merger will be a long and complex process and is expected to close by the end of the third quarter 2002. This merger will create an enormous growth engine, providing great opportunities for our employees, shareholders and customers. As with any merger, some elimination of positions is almost inevitable, and one of our key tasks will be to identify the optimal structure of the new company. We hope to be able to address any need for work force reductions through attrition and hiring reductions. Clearly, we cannot rule out involuntary separation, but Dynegy is motivated to identify and retain the best talent from both organizations. I promise you that I will do everything I can to make this transition as smooth as possible. As I said in my video, this is a day like no other in our company's history. We considered several options, but we believe that this merger with Dynegy is the best option to help rebuild investor and market confidence, strengthen our balance sheet and preserve our core businesses. I know you have a lot of questions about this transaction and about next steps. We have a list of frequently asked questions posted at <http://home.enron.com/updates/>. If you have additional questions, please submit them to questions@enron.com <mailto:questions@enron.com>. We will post updates as soon as we have answers to your questions. If you receive any calls from the media, please refer them to our media team at (713) 853-5670. I ask you to consider the enormously bright future of the newly formed company. Rather than closing doors, we are opening new ones, as this deal enables the customers and shareholders of both companies to participate in the tremendous benefit of the combined enterprise, including our market reach, financial strength and industry experience. Together, we will be a new merchant powerhouse. And again, thank you for everything you have done for Enron. Investors and security holders are urged to carefully read the joint proxy statement/prospectus regarding the proposed transactions when it becomes available, because it will contain important information. Investors and security holders may obtain a free copy of the joint proxy statement/prospectus (when it is available) and other documents containing information about Dynegy and Enron, without charge, at the SEC's web site at www.sec.gov. Copies of the joint proxy statement/prospectus and the SEC filings that will be incorporated by reference in the joint proxy statement/prospectus may also be obtained for free by directing a request to either: Investor Relations, Dynegy Inc., 1000 Louisiana, Suite 5800, Houston, TX 77002, Phone: (713) 507-6400, Fax: (713) 507-6808; or Investor Relations, Enron Corp., 1400 Smith Street, Houston, TX 77002, Phone: (713) 853-3956, Fax: (713) 646-3002. In addition, the identity of the persons who, under SEC rules, may be considered "participants in the solicitation" of Dynegy and Enron shareholders in connection with the proposed transactions, and any description of their direct or indirect interests, by security holdings or otherwise, are available in an SEC filing under Schedule 14A made by each of Dynegy and Enron.	1
Overview of Investor Conference Call	Today, Enron hosted a conference call to give investors a current overview = of the company. Here's an update of what we discussed during the call. We told investors that we're doing everything we can to protect their inter= ests and to regain their confidence. Our focus remains on our credit qualit= y, balance sheet and liquidity, which are essential for our continued succe= ss and expansion of our wholesale businesses. It took more than a few weeks to get where we are today. Here's a snapshot = of significant events that led to our current situation: -- In hindsight, we definitely made some very bad investments in our non-co= re businesses over the past several years. Those include investments in Azu= rix, India and Brazil. They have performed far worse that we could have eve= r imagined when we made these investments; -- Because of these bad investments, we've become over-leveraged as a compa= ny. The negative impact of those investments was exacerbated through the ex= tensive use of debt capital both on and off our balance sheet; -- We also entered into related party transactions that led to a loss of in= vestor confidence, which has been very damaging; -- We've been criticized for our lack of transparency and our hard-to-under= stand financial and operating disclosures; and -- On top of it all, we discovered errors in our financial statements, as d= iscussed in our 8-K filing last week, that required a restatement of previo= usly reported earnings. We've taken a new look at our businesses and have separated them into three= areas: core businesses, non-core businesses, and businesses under review. Core Businesses Our core businesses remain strong and consistent sources of significant ear= nings and cash flows for the company. They're our competitive advantage. Th= ese include: -- Natural gas pipeline businesses; -- Gas and power businesses in North America and Europe; -- Retail businesses in North America and Europe; and -- Coal businesses in North America and Europe. The events of the past few weeks have had a temporary negative impact on ou= r projected fourth quarter profitability. It's too early to tell at this ti= me what impact this might have on our operating results. We are considering= these actions now so that we can quickly return to normal business in 2002= . I also remain optimistic that the actions we've taken over the past couple = of weeks have addressed our customer and counterparty credit and liquidity = concerns. According to our business unit leaders, we have definitely seen i= mprovement in our counterparty relationships. Non-Core Businesses Our non-core businesses include our global assets group and our broadband d= ivision. We have invested more than $8 billion in these businesses, and the= return from them has been dismal. We have an aggressive program in place to exit these businesses and expect = that the sale of these businesses will generate billions of dollars in cash= that we can use to repay debt and reinvest in our core businesses. We alre= ady have more than $800 million in assets contracted for sale this year. Th= ey include CEG Rio, a gas LDC in Brazil; EcoElectrica, a power plant and LN= G receiving terminal in Puerto Rico; and asset sales of offshore oil and ga= s properties in India. The approximately $2.9 billion Portland General sale= is also on target to close in late 2002 pending regulatory approvals. Businesses Under Review These businesses are comprised of those operations outside our power and ga= s wholesale businesses and include global and industrial markets. While sev= eral of these businesses have very strong future prospects, we need to dete= rmine if their capital requirements and near-term growth prospects are suff= icient enough in terms of earnings and cash generation. Reviewing our businesses this way will help determine where we need to make= reductions to our work force. More information will follow as soon as it b= ecomes available. Credit Rating/10-Q Filing We continue to meet regularly with credit rating agencies and believe that = our liquidity enhancements and scheduled asset sales will strengthen our ba= lance sheet and maintain our investment grade credit rating. Our current cr= edit ratings by the three major rating agencies are as follows: -- Moody's at Baa3 "Under Review for Further Downgrade" -- Fitch at BBB- "Evolving Status" -- S&P at BBB- "CreditWatch Negative" We also discussed our existing financial vehicles, including Osprey, Marlin= and Yosemite, in further detail. We told investors that we will file our 1= 0-Q five days late due to our current activities. It will be filed on Nov. = 19. We will continue to have updates with investors over the coming weeks as we= ll as our frequent updates with you. The full transcript of our conference = call will be filed with the Securities and Exchange Commission in the next = few days. It will also be posted on our web site at www.enron.com/corp/inve= stors under "SEC Filings." =20 =20 In connection with the proposed transactions, Dynegy and Enron will file a = joint proxy statement/prospectus with the Securities and Exchange Commissio= n. Investors and security holders are urged to carefully read the joint pro= xy statement/prospectus regarding the proposed transactions when it becomes= available, because it will contain important information. Investors and se= curity holders may obtain a free copy of the joint proxy statement/prospect= us (when it is available) and other documents containing information about = Dynegy and Enron, without charge, at the SEC's web site at www.sec.gov. Cop= ies of the joint proxy statement/prospectus and the SEC filings that will b= e incorporated by reference in the joint proxy statement/prospectus may als= o be obtained for free by directing a request to either: Investor Relations= , Dynegy Inc., 1000 Louisiana, Suite 5800, Houston, TX 77002, Phone: (713) = 507-6466, Fax: (713) 767-6652; or Investor Relations, Enron Corp., Enron Bu= ilding, 1400 Smith Street, Houston, TX 77002, Phone: (713) 853-3956, Fax: (= 713) 646-3302. In addition, the identity of the persons who, under SEC rules, may be consi= dered "participants in the solicitation" of Dynegy and Enron shareholders i= n connection with the proposed transactions, and any description of their d= irect or indirect interests, by security holdings or otherwise, are availab= le in an SEC filing under Schedule 14A made by each of Dynegy and Enron.	1
Enron/Dynegy Merger; Antitrust Issues	As you know, Enron has signed a merger agreement by which Dynegy will acquire Enron. We expect the transaction to close following shareholder and regulatory approvals and various conditions to closing. Even though Enron has entered into this agreement, U.S. and foreign antitrust laws require that Enron and Dynegy continue to operate independently of each other. In particular, to the extent that Enron and Dynegy are competitors in various businesses or markets, their respective activities must be undertaken at arm's length until the transaction has closed. Therefore, for antitrust purposes you should treat Dynegy as you would any other unaffiliated company notwithstanding the merger agreement. In addition, all information, documents and communications related to the merger between Enron and Dynegy should be coordinated through and approved by Mark Muller, Lance Schuler, Robert Eickenroht, Mark Haedicke, Rob Walls or Greg Whalley of Enron. It is absolutely critical that this procedure be maintained. To the extent that information is required to be disclosed to Dynegy under the merger agreement, then such disclosure should be approved by one of the foregoing individuals. If you have any questions concerning this notice, please contact Lance Schuler (713/853-5419), Robert Eickenroht (713/853-3155), Mark Haedicke (713/853-6544) or Rob Walls (713/646-6017). Thank you for your help in this matter.	1
Jeff McMahon Named CFO	Today we announced the appointment of Jeff McMahon as Enron's chief financial officer. In my continued discussions with the financial community yesterday and today, it became clear that this move was required to restore investor confidence. Jeff has unparalleled qualifications and a deep and thorough understanding of Enron. He is already on the job and hard at work on the issues before us. Andy Fastow will be on a leave of absence from the company. Jeff had been serving as chairman and CEO of Enron Industrial Markets. He joined Enron in 1994 and spent three years in the London office as chief financial officer for Enron's European operations. Upon returning to the U.S., Jeff was executive vice president of finance and treasurer for Enron Corp. In 2000, he was named president and chief operating officer of Enron Net Works. I know all of you are concerned about the continuing decline in our share price. I am too, and we are working very hard to turn it around. Appointing Jeff as CFO is one important step in that process. But most of the solution involves just continuing to do our jobs with excellence. The fundamentals of our business are strong, and I think the market will begin to see that as we continue to perform. Please join me in giving Jeff your full support, and thank you for all of your continued hard work.	1
Subsidiary Equity or Phantom Equity	Michelle, This email confirms our discussion that one of the mandates of the Compensation Committee of the Board of Directors of Enron is that they approve all formations of and grants related to any subsidiary equity or phantom equity plans. Mary and I can and will work closely and quickly with any group needing to get this done. Mary is responsible for presenting the plan for approval to the Compensation Committee after Tax, Legal, Accounting, Commercial and HR interests are scrubbed. These types of plans have accounting, legal and tax complexities that need to be worked out and change regularly. Also, it is very important that no written or verbal promise related to equity grants before Compensation Committee approval is obtained.	0
IMPORTANT-To All Domestic Employees who Participate in the Enron Corp Savings Plan	If you are a participant in the Enron Corp. Savings Plan, please read this very important message. We understand that you are concerned about the timing of the move to a new Savings Plan administrator and the restricted access to your investment funds during the upcoming transition period scheduled to take place beginning at 3:00PM CST on October 26 and ending at 8:00AM CST on November 20. We have been working with Hewitt and Northern Trust since July. We understand your concerns and are committed to making this transition period as short as possible without jeopardizing the reconciliation of both the Plan in total or your account in particular. Remember that the Enron Corp. Savings Plan is an investment vehicle for your long-term financial goals. The Enron plan will continue to offer a variety of investment opportunities with different levels of risk. As always, we advise you to review your overall investment strategy and carefully weigh the potential earnings of each investment choice against its risk before making investment decisions that are aligned with your long-term financial plans and your risk tolerance. For that reason, it is critical that ALL trades among your investment funds be completed by 3:00 PM CST Friday, October 26 before the transition period begins.	1
Jeff McMahon Named CFO	Today we announced the appointment of Jeff McMahon as Enron's chief financial officer. In my continued discussions with the financial community yesterday and today, it became clear that this move was required to restore investor confidence. Jeff has unparalleled qualifications and a deep and thorough understanding of Enron. He is already on the job and hard at work on the issues before us. Andy Fastow will be on a leave of absence from the company. Jeff had been serving as chairman and CEO of Enron Industrial Markets. He joined Enron in 1994 and spent three years in the London office as chief financial officer for Enron's European operations. Upon returning to the U.S., Jeff was executive vice president of finance and treasurer for Enron Corp. In 2000, he was named president and chief operating officer of Enron Net Works. I know all of you are concerned about the continuing decline in our share price. I am too, and we are working very hard to turn it around. Appointing Jeff as CFO is one important step in that process. But most of the solution involves just continuing to do our jobs with excellence. The fundamentals of our business are strong, and I think the market will begin to see that as we continue to perform. Please join me in giving Jeff your full support, and thank you for all of your continued hard work.	1
Message from Ken Lay	Earlier today, I stepped down as Enron's Chairman of the Board and Chief Executive Officer. This decision was reached in cooperation with Enron's Board and the Creditor Committee and is effective immediately. To emerge from bankruptcy, Enron needs a CEO who can focus 100 percent of his or her efforts on rebuilding the company. Unfortunately, with multiple inquiries and investigations that require my immediate attention, at this time I am unable to fully concentrate on what is most important to Enron's stakeholders - preserving value for our creditors and our dedicated employees. The Creditor Committee has begun a search for a restructuring specialist to serve as interim CEO to help the company emerge from bankruptcy. This individual will join Enron's remaining management team to direct the company's ongoing operations. I truly believe Enron can and will survive. I will remain a Director of the Board to help see that it does. During my time at Enron, I have witnessed tremendous change and opportunity. I have seen people rigorously grow and maintain one of the world's most efficient and safest gas pipeline networks; I have seen people dedicate themselves to a cause that became a passion - the opening of energy markets; I have observed smart people come together as a team to build creative solutions like EnronOnline; and I have watched people tirelessly give of themselves to help their fellow employees and those in the community. Regardless of what has happened, I am proud of so much of what we were able to accomplish here. Thank you for your contributions to the company and for the inspiration you have been to me over the years. Ken Lay	1
