subject	body	cluster_id
east basis and index points	these are the only points that we need curve structures to. i am not sure on the gd points yet, but will get let you know.	1
Dear farging iceholes...	After giving this trade situation WAY too much thought, I have arrived at the following conclusions (giving examples along the way so blockheads like DeFoggi can understand the concepts). 1.) One suggestion is to have the online trading system allow first come, first serve between specified hours/days as allotted by the website. Unfortunately, the reality is that this won't work because there are available free agents on MY team and the only way to add/drop is that I become notified anyway and go in and manually do the transaction and waive the fee. 2.) Power ratings so that the low man on the totem pole gets a chance for first pick. Okay, so a trader makes a bad trade, loses money, gets fired, and then gets the same job trading elsewhere for more money. A loser is a loser and should be acknowledged as such (see Feeley). Those are the breaks in this game. Besides, too time consuming for me to go through the numbers. 3.) Free market... first come, first served, anytime, anywhere. This is a good concept in that those that dedicate the time to watching, studying, and anticipating an opportunity are allowed to seize the moment and get paid. And they should because it is just like a small business, you get out of it what you put into it. Time is money. However, you can't do add/drops once your lineup is set and you should only be able to apply trades to the upcoming week anyways. 4.) Calling two fellow team owners to validate your trade. Really, would you trust Gibby in this situation? I can hear it now, "Oh yeah, dude, I was drinking a soder pop when he called but he neva said anything about picking up that QB." So, I have reached what I call a fair and amicable solution to all of your f*cked up problems. First, the core of someone's team is going to decide the results week in and week out. I've been in this long enough to know that pickups (especially in a big league) are rarely gonna make that big of a difference in the outcome of a season. Past examples include WR Thrash who had a spectacular game against Seattle only to turn around and have a dismal game against the lowly Cowboys. There was $15 given to the pot. What I am getting at is that I think trading is way overrated and only serves to build the pot for the team that drafted the strongest in the beginning anyways. Second, online access allows a level playing field. I agree with this and it should be implemented because it is also time stamped so there is no question as to who was first in a selection. If an owner is going to stoop so low as to change the clock on their computer to try and get an earlier time stamp, then there are bigger mental problems down the road and the money you make off the win should be applied accordingly. Third, my time is just as important and so is a "transaction" period. For example, this weekend is Octoberfest weekend in Fredericksburg. If you think I am going to hang around and stay sober so I can meet your demands and implement your requests, you are sorely mistaken. I fully expect to start drinking myself into oblivion Friday evening and don't expect to come out of my coma until sometime Sunday evening so your changes/requests/questions need to be done by Friday afternoon. SO, here is what I suggest: 1.) to make an add/drop (trade) transaction, click on the "Owners" tab on the league homepage (found up top next to Live Chat), page down to the bottom of the page and send a broadcast email to ALL team members announcing your intentions. I will implement the trade(s) on the Tuesday following the Monday night game. The transaction deadline is Friday 5:00 PM for the weekend games. If I receive the email timestamped before then, I will make the trade for the upcoming weekend. IF there is a Thursday night game, Thursday 5:00 PM is the deadline for THE WEEKEND. At any time after the deadline if a transaction is submitted, it will apply to the following weekend. Also, there will be NO limit on the amount of transactions, feel free to contribute as much as you wish. 2.) regarding current requested trades for the past weekend: for this week only, send ME an email with your request. I will take one trade per team this week only. If two teams want the same free agent, whoever guesses closes to where the Nasdaq composite closes Wednesday, October 3rd wins. The loser will be notified as such. So, BE SURE TO INCLUDE YOUR GUESS. This should provide everyone easy online access to making trades. All you have to do is make sure the free agent is indeed free, that nobody has already sent you an email picking him up, and shoot a broadcast out to the owners proclaiming him as yours. Simple. So, any questions or concerns can be sent back to discuss. I will shoot down all of them. I am going to lunch. I eagerly await the opportunity to tell you why your plan won't work.	2
FW: N. Little Rock Metering	Reagan C. Rorschach Enron North America 1400 Smith Street Houston, Texas 77002 713.345.3363 -----Original Message----- From: Broussard, Richard Sent: Tuesday, October 09, 2001 10:10 AM To: Kroll, Heather; Rorschach, Reagan Cc: Comeaux, Keith; Will, Lloyd Subject: N. Little Rock Metering Below is a summary of the metering issues for N.Little Rock. Entergy is requiring NLR to supply all metering. There are several meters already in place but more are needed. James Bray is the contact with the metering information. All existing meters are pulse contact meters and the metering is brought back to NLR's SCADA system via a radio network. Benton has pulse meters in place but the pulse data is not currently brought back to the SCADA system. For now, meter readers have to go out to each meter with a laptop and tie it into the meter to get readings. The best solution would be to have all of the meters brought back to the central SCADA system. The peak load for NLR is 260MW, the peak for Benton is 65MW. The biggest issue is the generation at the hydro station. There is currently 40 MW of generation from two 20MW units. These units are flow following; the generation is controlled by the flow of water in the river. NLR has no control over the water flow. It is controlled by the Army Corps of Engineers. The CoE currently sends out forecasts of water flow but it is not accurate. Right now, the control system at the hydro plant is not connected to NLR's SCADA system. They do have a fiber network in place and the hydro plant can be connected. NLR has to pay Entergy an imbalance charge mostly caused by the change in generation at the hydro plant. Assuming that NLR can get all of the meter data and the hydro plant data back to the SCADA computer, I think that the best course of action for us is to connect a near real-time connection to the SCADA computer to get data back to Houston. This is a system similar to what we installed at Clarksdale. For an estimate of costs, use $50,000 for installation and $1,000 per month for communications. This is for a file server at the site of the SCADA computer with a frame relay connection back to Houston. With this we can monitor the NLR load as well as the hydro generation on a near real-time bases (+/- 5 seconds). James Bray is supposed to call me with more information on the metering and control systems. However, if you get the chance, please try to find out the following information: 1) How many more meters need to be installed? 2) What will it take to get the Benton meters tied back to the SCADA computer? 3) Is there any generation control at the hydro plant or is it totally dependent on water flow? In other words, can they control the pitch of the rotors, open or close valves, divert water, etc. to control the total generation? 4) Less importantly, what type of SCADA system to they have and what is the platform? Platform - Windows NT, Unix, Windows 2000, Windows 95 (Gasp), etc. Software - GE Harris, WonderWare, Intellution, etc. Rick	2
Harassment Training	Michelle - We are getting lots of comments/questions from our employees regarding the mandatory harassment training. Have you given any more thought as to when/how this will be rolled out to Portland and San Francisco? Thanks! Hope that you had a great weekend. Amy	1
Terrorism Audit	Michelle: Here is the first response I received from one of our senior partners in SF: I think the best thing such a client can do is to use a reputable security outfit (such as Kroll Associates) to give the co. a very thorough assessment. I think, quite frankly, that relying on the advice of such an outfit would provide more legal protection than talking to all of the lawyers in the world, although our advice could be an additional benefit. As you know, we have an extensive task force report on workplace violence that would be relevant to this inquiry and could provide the basis for an analysis of this issue, although other areas would have to be explored. I am soliciting comments about the HR consultant you referenced.	1
RE: Revised 9-15-01 Utilization Analysis	Sandra, Thank you for the report. I will discuss these goals with my management team in our staff meeting today. Best regards, Billy	2
Y/E PRC and Contractual Bonus Targets	Michelle, Can you and the comp team help us identify who has contractual bonus targets for performing at the top 25%, 33% or 50% of the PRC "criteria" or "performance scale". Obviously we have a number of contracts we entered into between Jun 99 and the beginning of the end of last year which have some sort of wording along the above lines in them. There are some critical questions I would like to get clarity on: If BU's and support functions simply stop at 10/80/10 in their PRC's how will we deal with these contracts? Presuming all commercial staff are also relative ranked for bonus purposes separately to the PRC, can we use this scale instead (where it will be easier to identify a to half or quartile performance). Do we need to ensure that BU's and Functions that have people with such wording do split their middle 80%. If so how should we do this? Do we need to amend those contracts to wording that is easier to interpret? What proof or disclosure will we need to those individuals with this wording? I have a PRC committee meeting Thurs and while I don't anticipate raising this issue in that forum, I'd like to know we are working on a solution. David	2
Unemployment Question	Hi Michelle, The presentation went as well as it could. There was quite a bit of stunned silence, but the questions are already starting to trickle in. One particular question on unemployment insurance I'm not familiar with, hoping you or Drew can help. Since the VSP is effectively a voluntary election, would employees qualify for unemployment insurance, specifically in New York State. Under the involuntary program, is the severance payment offset by unemployment compensation? You can see where this question is leading, some people may be hedging their bets on the time value of the money. Thanks Cathy Human Resources	2
Management Committee Presentation Draft	Michelle, This is still work in progress. The real work will be articulating the workforce data. Please give me any feedback you may have at this point. I will send more in the am. Thanks for your help. ay	2
Project Fireball (personnel question)	Michelle, The Coal group has a question related to personnel they would acquire from Vulcan if they purchased the marketing rights to their coal. In this scenario, there are 4 marketing employees which would come to Enron as a part of the deal. A few things: In this case, I'm assuming these employees would resign from Vulcan and Enron would extend the appropriate offer. Secondly, Enron's purchase of the marketing rights will be for an 18mo to 3 year trial period. At the end of the trial period, if Enron returns the marketing rights to Vulcan (or current owner), they want the right to re-call these employees. George McClellan is ok with the right to recall, but I am not sure how/where to put this in writing ie; in the deal agreement, offer letter, etc. Thanks, Shanna	1
