subject	body	cluster_id
Greetings	Greetings, Sandra. I hope life will be treating you better over there soon. As you might know, most of EnergyUSA was given pink slips effective over the next 3-6 months. As a result, it is back looking for another job. I was wondering if it would be possible for you to write a letter of recommendation for me? I'm really regretting this leave from Enron now. In my quest for looking for something stable, I ended up fucking myself up. At least I have a few months before our house is finished. Hopefully, I'll have something by then.	2
Summer Enron Internship	Brad, I really don't know where to begin other than just to say it. Enron is having some extremely difficult times now. I have been trying to focus on helping Enron stay together. This is not a good time for you or anyone else to try and seek employment here. I am sorry if I am letting you down. I was only wanting to help. I will always keep you in mind, and hopefully when things turn around here I will be able to address you coming here.	2
Change of Control Provisions	As many of you know, I have a provision in my employment contract which provides for a payment of $20 million per year for the remaining term of my contract in the event of a change of control of Enron. The merger with Dynegy, or a similar transaction with any other company, would trigger this provision on closing. Assuming the merger with Dynegy is closed within 6-9 months, as we expect, this provision would entitle me to total payments of slightly more than $60 million. Many CEOs have change of control provisions in their employment contracts and mine has been in place since 1989. But given the current circumstances facing the company and our employees, I have been giving a lot of thought these last few days to what to do about this payment. Initially, I thought I would use part of the funds for a foundation for our employees and take the remainder in stock and cash. However, after talking to a number of employees this afternoon, I have decided that the best course of action would be for me to waive my right to any of this payment. Therefore, at closing, I will receive no payments under this provision. I know this action does not remedy the uncertainty that you and your families face. But please know that I will continue to do everything in my power to serve the best interests of Enron's employees and shareholders. I am still very proud of what we have built at Enron, and I want to continue working with all of you to correct the problems and restore Enron to its rightful place in the energy industry. Thank you.	1
Co Identifier - business cards	Michelle - We are struggling with the appropriate company identifier for business cards. We are employees of Enron America, however some of our business cards show Enron North America (carryover from days of old), EWS (no longer/or will no longer exist), and some show Enron Corp (International Admin group). Marge Nadasky in Corp Public Relations who deals with the Company logo and Company names on business cards, etc., has indicated that Legal prefers we use the operating company we are part of rather than Enron Corp (piercing the corporate umbrella issue). She did say we could use just plain Enron if we are not part of the corporate group. As part of a network services function which crosses all Enron business units, do you see any problems if we use Enron on business cards? We have several who have changed positions or never had cards and need new ones. Thanks Sheila	2
Another call	You are not going to believe this, but I just got another phone call asking if you are leaving? Rumors are going around that you are leaving.	2
RE: Call Agenda	2pm Thurs (my office 3AC 2093) FYI I'm incline to play "good cop"in this (will explain why if I need to)	1
Keep in touch	Monica Our end might be imminent but let's make an effort to stay in touch Other than losing a stable source of income, the sad thing is losing touch with a bunch of awesome people like you Anyway, my email and number asf:- winter_les@yahoo.com lesthen@singnet.com.sg Mobile : +65-98268758 What's yours? Cheers	2
RE: Consumers 9/01	Wow....that is a real issue, I can only tell you that Martin or Risk should be able to resolve this for you unfortunately, I wasn't doing TCPL and Union that long ago and I know that Darren Espey, who was doing it before me did usually put in the tickets without pricing and then gave the deal tickets to Risk to make sure they put pricing as well as off set ( Withdraw or Inject ) tickets in too. Please do keep me posted. Thanks, Mark	2
Hi	I've thought about you a few times in the last few months, didn't want to intrude upon an already bad situation with my bullshit questions. I'm hearing some pretty depressing stuff from the people I know at ENE. I wish I had the capital to open my own shop.there will be talent and opportunity a plenty on the market soon. I'll ask around.I've got some friends at Duke and Dynegy from B-school, the Gianoucous (spelling??) brothers (John and Dimitri.from elementary school) started their own outfit a while back, and my old man is at Schlumberger and has good contacts in general (if you aren't married to a trading environment). Give me a few days, and I'll be in touch.	2
Layoffs	Last week was the hardest week that our office has ever experienced. When I look down the list of people who were laid off I see the names of some very talented people. Things have unfolded so quickly -- the reality of the situation is settling in for me, and probably many of us, today. Again, I wanted to express my thanks and gratitude to everyone on our floor -- both current and former employees. In the interest of keeping people informed about who is here and who is gone, below is a complete list of layoffs done last week within the west power team. Last Name First Name Coffer Walter Alport Kysa Ausenhus Kara Axford Kathy Bryson Jesse Burry Jessica Butler Emily Cadena Angela Chen Andy Chen Lei Cocke Stan Cox Chip Dalia Minal Deas Patty Frost David Fuller Dave Gang Lisa Guillaume David Hall Erin Harasin Leaf Linder Eric Mainzer Elliot Maxwell Dan McCarrel Steven Mehrer Anna Merriss Steven Merten Eric Miles Darryl Mullen Mark Mumm Chris Nalluri Susmitha Porter David Presto Darin Soderquist Larry Symes Kate Thome Jennifer Tully Mike Van Gelder John Warner Nicholas Wilson Susan Browner Victor Calvert Gray Carranza Octavio Ha Vicki Mara Sue Perrino Dave Qureishi Ibrahim Turnipseed Edith Wong Michael	0
