subject	body	cluster_id
FW: WorldCom Calling Card	Pls confirm that you have received your new WCom calling card. Thank you.	1
You still there?	Mike - you still working? Let me know what is up with you through all of the Enron BK fallout.........pbw	1
phil	do you happen to know fun phils email address?	2
Just Curious	Hey Mike, Just curious if you all have given any thought to posting a MEC Market. You have NSP and AECI and we would sure be interested in supporting a MEC market. How the things going for you, I am sure right now it must be a bit tense In lieu of everything that is taking place with Enron. I wish you well and have a Happy Thanksgiving.	1
Enron Metals North America Voluntary Severance	Michele, Per our telecon, the timeline to roll out the VR for Metals North America has been escalated to THURSDAY, October 18th which only leaves us tomorrow to try and tie up loose ends. Attached 'NA Metals Analysis' spreadsheet will give you all the demographics of our population, include, ethnicity, gender, age, etc. please note the 'standard' tabe includes everyone on Enron standard at-will employment letters. The second tab 'agreement' has all our people on exec agreements. The 'BU Briefing to Staff' will give you a good general overview of the program that was rolled out in EEL, I've red-lined the document to tweak it to the US side. The employee info packet will include 'Enron Metals Change Program' document, 'VR Application' and 'FAQS.' Again I've red-lined these EEL originated documents to fit the US side. There are still some oustanding items I need to confirm with Comp & Ben. My immediate questions are: Will our current severance policy allow us to provide an enhanced voluntary program? We want to offer it to all employees. Can we do this and still reserve the right to reject applications? If we do reject applications under the Voluntary Program will we be prevented from terminating the employee under the compulsory program? Do we need to make any special consideration for employees on maternity leave ( I have three!!). Please call me when you've had reviewed these items so we can determine how quickly we can move forward. Thanks Cathy	1
follow-up	Michelle- I hope that this message finds you well and that you are having a great week. I spoke with Mark Broadfoot this afternoon and he suggested I try to reach you through e-mail. I just would like to inquire with you to see if you have any feedback regarding the PWD sample that Darlene Donlan forwarded back to you last week. If you could please let us know where that stands, or if you have any feedback and/or questions it would be greatly appreciated. Thanks and have a great evening.	0
RE: Boeing	Send 'em on... -----Original Message----- From: Cash, Michelle Sent: Monday, October 29, 2001 3:50 PM To: Seleznov, Ryan Subject: RE: Boeing yes. I have contacts there, if you want. Michelle -----Original Message----- From: Seleznov, Ryan Sent: Monday, October 29, 2001 3:49 PM To: Cash, Michelle Subject: Boeing Michelle, do you believe they would be a good company to contact regarding ER team? Ryan	1
FW: Qtrly EEO/AAP notice	Michelle, Please let me know what your changes will be to the memo and if you would like to meet to discuss the reports. Thanks! Regards, Sandra	2
FW: Due Diligence List	Any comments to the Employment related section? Ron is developing a form due diligence list. Julia	1
Enron Capital & Trade Resources International Corp.	Michelle, Long time no see - hope you're doing well despite the difficult times we're in. I'd wish to consult your employment law expertise. Staff in Oslo and Stockholm are employed by the captioned company, incorporated in Delaware. The question has arisen what guarantee, if any, there is for salaries and other employment benefit under a US bankruptcy or Chap. 11. Perhaps you have a memo or something to send over. Thanks. Martin	1
bankruptcy effects on charges of discrimination	Please let me know what the bankruptcy folks say in terms of whether the stay extends to regulatory/investigatory proceedings like the EEOC. Even if the stay applies to the EEOC proceedings, we may need to continue investigating or be unable to claim that we conducted prompt and thorough investigation of claims.	2
PBGC Reportable Event	Michelle, We are working on completing the reportable events form for the PBGC and supplying the requested data. Included in the data request are: (1) copy of bankruptcy petition or similar documentation (2) docket sheet or other list of documents file Please provide copies or direct me to the person who can provide copies of the above data requests. Thanks Chris	0
Pension Questions	Michelle and Cynthia, I really need to track down each and every pension plan and multiemployer pension plan to which the company contributes or for which the company may have liability. Can either of you direct me to the appropriate person(s) who would be able to provide such information? Thanks, Drew Clark	2
ECTRIC Team	Eric John Sherriff has advised us of the proposal for you to lead a team to close out and maximise the value of the ECTRIC assets. Michelle Cash is the employment lawyer who is best placed to provide you with the agreements you require to obtain and keep the team you require. Please could you send the list of individuals you need on the team to David Oxley and Michelle Cash who will advise further. Kind regards, Marcus	1
FW: Frank Stabler - Request to Extend Term Date from 12/01/01 to	Michelle / David: Frank Stabler called to determine the status of his separation agreement amendment. Bernadette Etienne, in Mary Joyce's Office, called to say that she received the amendment signed by Frank in their office and wanted to know what to do with it. Should this document go to the Cash Mgmt Committee for authorization to execute? Shelly X57962	0
: Dave Parquet	Michelle / Robert, What is the status of Dave Parquet's Employment Agreement? Can either of you give me an update?	1
Policy issues for the bankrupt estate	Kalen,. per your discussion about getting these issues to management committee, below are some of the HR Policy changes to consider implementing prior to year end. Clarification - what revisions, if any, should apply to the non-filed entities? Vacation - change the accrual rate, as planned FMLA / Sick Leave - FMLA leave to run concurrent with Enron's sick leave program when appropriate. Educational Assistance: suspend tuition reimbursements. Leave of absence - reduce or amend paid leave. Leaves include: Personal leave (eliminate Mgmt. discretion) Funeral /bereavement leave (should we establish a policy cap of 3 days) Paternity / adoption / pay to parent / father - (40 hours paid outside of Enron sick leave) Jury - Witness duty - (pay to the extent required by law) Military leave - (reduce or eliminate the salary bridge paid- difference between Enron base and military pay)	1
expenses for former employees	Are former employees limited to the $4500, or do they participate in the reimbursement up to $15k that I've been hearing about?	0
FW: Message Received in EMA	Can you forward me a list of the bankruptcy companies? Thanks.	1
FW: Enron Matching Gifts	Diane, I'm assuming that these are not being paid. Michelle, do you have any idea if she could get out of her commitment. I'm assuming that she really isn't liable for the $1,000 match.	1
RE: Enron Matching Gifts	Kalen - It is my understanding that the matching funds were handled by Community Relations which reported through Cindy Olson. Cindy - Can you provide any information on this question. Thanks, Diane	2
Release from contract	Michelle, I hope you had a good Christmas. I would appreciate if you could please let me know where you stand with the agreement to release both me and Enron from the obligations contained in my employment contract. I have a firm offer for employment that is running out of time. I would greatly appreciate your help in resolving this issue as soon as possible. I look forward to receiving a draft of the agreement by email as per our understanding. Thank you for your attention.	1
-	Would you mind checking into something for me? One of our lawyers was called by someone from Industrial Markets who was laid off. He indicated that he had an employment contract that has a six month non-compete for involuntary termination. He said that he called HR to get a waiver of the non-compete so that he could pursue new employment and was told that no waiver would be granted. Is that our policy or are these issues being addressed on a case by case basis? I find it hard to believe that we would even think about enforcing a non-compete for someone we've laid off, so why not grant the waiver? If this is not the policy, we need to get this straightened out.	1
