subject	body	cluster_id
Third Quarter Earnings Results	Today, we announced our third quarter earnings results, which were right on target with analysts estimates for recurring earnings per diluted share of $0.43. This marks a 26 percent increase over the third quarter of last year, which is due to the strong performance of our core wholesale and retail energy businesses and our natural gas pipelines. In addition, we also announced that we are on track for our earnings target of $0.45 for the fourth quarter ($1.80 for 2001) and $2.15 for 2002. We made a commitment to you that we would provide you with timely information about Enron's business strategy and performance, so this email is intended to provide an explanation about our earnings this quarter. Over the past few months, we have met with analysts to discuss Enron's performance. We received considerable feedback from investors and analysts that we needed to expand our financial reporting to include details for more of our business units. In response to that feedback, we have provided results separately for several of our business units. For example, while we have provided volume figures for North America and Europe, this is the first quarter we have provided financials separately for Enron Americas and for Europe and Other Commodities. In addition, information about our global assets had previously been included in our numbers for Wholesale Services. This quarter they are reported separately. Finally, even though our broadband business is now part of Enron Wholesale Services, we are continuing to report that business separately. Following are the highlights of our businesses: Wholesale Services: Total income before interest, minority interests and taxes (IBIT) increased 28% to $754 million in the third quarter. Total wholesale physical volumes increased 65% to 88.2 trillion British thermal units equivalent per day (Tbtue/d). Americas: IBIT increased 31% to $701 million. Natural gas volumes increased 6% to 26.7 Tbtu/d, and power volumes increased 77% to 290 million megawatt hours (MWh). Europe and Other Commodity Markets: IBIT remained unchanged at $53 million as compared to last year. While physical gas and power volumes increased, low volatility in these markets caused profitability to remain flat. Retail Services: Enron Energy Services reported IBIT of $71 million, compared to $27 million a year ago. So far this year, EES has completed more than 50 transactions with large customers and more than 95,000 deals with small business customers. Transportation and Distribution: Natural Gas Pipelines: IBIT increased slightly to $85 million in the third quarter. Portland General: We reported an IBIT loss of $(17) million this quarter compared to IBIT of $74 million a year ago. This loss is due to power contracts PGE entered into at prices that were significantly higher than actual settled prices during the third quarter. Last week, we announced an agreement to sell PGE to Northwest Natural. This transaction is expected to close next year. Global Assets: This segment includes Elektro, Dabhol, TGS, Azurix and Enron Wind. Third quarter IBIT remained unchanged at $19 million compared to last year. Broadband Services: IBIT losses were $(80) million in the current quarter compared to a $(20) million loss last year. This quarter's results include significantly lower investment-related income and lower operating costs. Corporate and other: This segment includes the unallocated expenses associated with general corporate functions. This segment reported an IBIT loss of $(59) million compared to $(106) million a year ago. In addition, this quarter we announced one-time charges of $1.01 billion. Over the past few quarters, we have conducted a thorough review of our businesses and have decided to take certain charges to clear away issues that have clouded the performance and earnings potential of our core businesses. These charges include: ? A $287 million write-down of Azurix Corp. ? $183 million associated with the restructuring of Broadband Services. This includes severance costs, a loss on the sale of inventory like servers and routers, and a write-down of the value of our content services contracts due to the bankruptcy of a number of customers. ? $544 million related to losses from certain investments, primarily Enron's interest in The New Power Company, broadband and technology investments and early termination of a structured finance arrangement. With our announcements this quarter we accomplished three things: 1) we showed continued strong earnings and earnings growth in our core businesses, 2) we cleared away those things that were clouding this superb performance in our core businesses, and 3) We expanded our reporting of financial results to increase transparency for our investors. To read the full earnings press release, go to www.enron.com/corp/pressroom/releases.	1
Natural Gas Origination	Our natural gas business continues to benefit from effective account management and resource allocation focused on identifying and responding to the needs of our varied customers. In order to keep our organization optimally structured and to facilitate additional growth, we are making the following changes: Producer/Wellhead Group The current mid-market, origination and wellhead pricing activity currently within the Central and Eastern Gas Regions will be consolidated with the Derivatives group under Fred Lagrasta. This will create a single business unit focused upon the needs of the producing industry within the Eastern U.S. The producer focus in the Western U.S. and Texas will remain unchanged reporting to Mark Whitt and Brian Redmond respectively. Strategic Asset Development Laura Luce will move from her role in the Central Region to lead an effort focused strictly on identifying and entering into long-term strategic arrangements within the Central and Eastern Regions. This initiative will focus on a limited number of selected markets that provide strategic opportunities for partnering in asset development, asset management and optimization. This effort will continue to work very closely with the regional leads. Central Origination and Mid-Market Frank Vickers will continue his current role in the Eastern Region and will assume the leadership role for Mid-Market and Origination activity in the Central Region. There will be no changes to the West and Texas Origination groups headed respectively by Barry Tycholiz and Brian Redmond. Please join us in congratulating Fred, Laura and Frank in their new roles. Louise & John	2
Jane Beatty letter & contract	Michelle, Will you please review the attached and initial if you approve the way it reads? We technically hired Jo Crowder as our first hire, but didn't see the sense in paying the remaining $20K of her $50K retainer fee for someone who is at a Staff level. I've discussed this arrangement with Jane and she is in agreement. (Twanda, do you mind printing this on EGM letterhead for Michelle to initial? I'm happy to come pick it up, or you can send to me at ECN 3678a. Thanks!) Additionally, we would like to extend Jane's contract so she can continue to submit candidates to us. Her original contract ended on September 30th. We'd like to extend it for a six month term beginning October 1st, continuing through March 31st. I've spoken with Jane and she agrees that there will not be an additional retainer fee charged to us by reinstating our contract. (Diane, is this as easy as just running new executable copies of the contract, changing only the dates or would we just create a one page amendment to the existing contract for signature by all parties?). We would like to continue working with them under the same fee structure as though our contract with them never ended (i.e. our next hire will be at a 25% fee). Thanks for your help, ladies! Let me know if there's anything else I can do to assist!	1
RE: Pulp and printing & writing presentation - Facts & Figures	WOW! This is a great industry overview. I haven't vetted the numbers, and I understand Karen wants to sit down and go over it in detail, but it appears to be exactly what we wanted and a great tool. Of course it will always be a work in progress, being improved and updated as we get better information. Good work.	0
Daily Update	Today we announced another positive development in our efforts to regain shareholder and market confidence, strengthen our balance sheet and help maintain our credit rating. We have executed a commitment letter with two of our longstanding banking partners, JPMorgan (the investment banking arm of JPMorgan Chase & Co.) and Salomon Smith Barney (the investment banking arm of Citigroup Inc.), that will provide us with additional secured credit lines worth $1 billion. Our Northern Natural Gas Company and Transwestern Pipeline Company will support these assets. The proceeds will be used to supplement short-term liquidity and to refinance maturing obligations. The pipelines are not being sold. Enron is only using these assets for this new credit line. Secured financing like this provides an expeditious way to increase liquidity and restore confidence. We also have the capacity to increase this facility by an additional $200 million if we bring in additional banks to participate. This money is in addition to the $3 billion in our credit lines we accessed last week to pay off short-term commercial debt and keep more than $1 billion in cash. I know it is discouraging to read the negative media coverage about our company. On a positive note, there was an editorial in last Sunday's Houston Chronicle that I want you to read: <http://www.chron.com/cs/CDA/story.hts/editorial/outlook/1107504>. This is an extremely difficult time for everyone and I appreciate everything you do for Enron. Don't forget to read our voice mail and e-mail transcripts covering these developments on the Enron Updates intranet site at (<http://home.enron.com/updates/>). Thank you.	1
Third Quarter Earnings Results	Today, we announced our third quarter earnings results, which were right on target with analysts estimates for recurring earnings per diluted share of $0.43. This marks a 26 percent increase over the third quarter of last year, which is due to the strong performance of our core wholesale and retail energy businesses and our natural gas pipelines. In addition, we also announced that we are on track for our earnings target of $0.45 for the fourth quarter ($1.80 for 2001) and $2.15 for 2002. We made a commitment to you that we would provide you with timely information about Enron's business strategy and performance, so this email is intended to provide an explanation about our earnings this quarter. Over the past few months, we have met with analysts to discuss Enron's performance. We received considerable feedback from investors and analysts that we needed to expand our financial reporting to include details for more of our business units. In response to that feedback, we have provided results separately for several of our business units. For example, while we have provided volume figures for North America and Europe, this is the first quarter we have provided financials separately for Enron Americas and for Europe and Other Commodities. In addition, information about our global assets had previously been included in our numbers for Wholesale Services. This quarter they are reported separately. Finally, even though our broadband business is now part of Enron Wholesale Services, we are continuing to report that business separately. Following are the highlights of our businesses: Wholesale Services: Total income before interest, minority interests and taxes (IBIT) increased 28% to $754 million in the third quarter. Total wholesale physical volumes increased 65% to 88.2 trillion British thermal units equivalent per day (Tbtue/d). Americas: IBIT increased 31% to $701 million. Natural gas volumes increased 6% to 26.7 Tbtu/d, and power volumes increased 77% to 290 million megawatt hours (MWh). Europe and Other Commodity Markets: IBIT remained unchanged at $53 million as compared to last year. While physical gas and power volumes increased, low volatility in these markets caused profitability to remain flat. Retail Services: Enron Energy Services reported IBIT of $71 million, compared to $27 million a year ago. So far this year, EES has completed more than 50 transactions with large customers and more than 95,000 deals with small business customers. Transportation and Distribution: Natural Gas Pipelines: IBIT increased slightly to $85 million in the third quarter. Portland General: We reported an IBIT loss of $(17) million this quarter compared to IBIT of $74 million a year ago. This loss is due to power contracts PGE entered into at prices that were significantly higher than actual settled prices during the third quarter. Last week, we announced an agreement to sell PGE to Northwest Natural. This transaction is expected to close next year. Global Assets: This segment includes Elektro, Dabhol, TGS, Azurix and Enron Wind. Third quarter IBIT remained unchanged at $19 million compared to last year. Broadband Services: IBIT losses were $(80) million in the current quarter compared to a $(20) million loss last year. This quarter's results include significantly lower investment-related income and lower operating costs. Corporate and other: This segment includes the unallocated expenses associated with general corporate functions. This segment reported an IBIT loss of $(59) million compared to $(106) million a year ago. In addition, this quarter we announced one-time charges of $1.01 billion. Over the past few quarters, we have conducted a thorough review of our businesses and have decided to take certain charges to clear away issues that have clouded the performance and earnings potential of our core businesses. These charges include: ? A $287 million write-down of Azurix Corp. ? $183 million associated with the restructuring of Broadband Services. This includes severance costs, a loss on the sale of inventory like servers and routers, and a write-down of the value of our content services contracts due to the bankruptcy of a number of customers. ? $544 million related to losses from certain investments, primarily Enron's interest in The New Power Company, broadband and technology investments and early termination of a structured finance arrangement. With our announcements this quarter we accomplished three things: 1) we showed continued strong earnings and earnings growth in our core businesses, 2) we cleared away those things that were clouding this superb performance in our core businesses, and 3) We expanded our reporting of financial results to increase transparency for our investors. To read the full earnings press release, go to www.enron.com/corp/pressroom/releases.	1
ADL Luncheon	Jim, Well, you finally gave a speech that topped the one you gave at Linda's and my rehearsal dinner. You did an outstanding job (as did Carrin), and it was obvious you were speaking from the heart. I know you would prefer not to have all of this attention, but it comes with the territory. It sure made me proud to see you up there, and congratulations on the accomplishment. Scotty	2
Enron Law Conference	Jim, I am so glad that the 2001 law conference went so well -- we have received many favorable comments from the attendees. Today we had a post-conference meeting with the group that worked on the conference, and we went over what worked well and what didn't. It was very productive. One of the things that came out of our meeting was the need to promptly appoint next year's Chairman of the CLE committee. Michelle feels that putting that person in place now will greatly aid in the transition from this year to next year's planning. As a matter of fact, she is meeting with her committee for the last time next week and would love to announce the new chair at that time. So, could you please think about to whom you would like to give that distinct honor? I've asked Michelle to e-mail you information about her committee and her suggestions regarding a chair. Thanks so much for your help and input.	2
Dabhol -- A Brief Legal Update	Gentlemen - Following the Dabhol dictate that "bad news is good news," Dabhol is getting some good news this week. As reported in the press, DPC did receive a two-page letter from MSEB purporting to rescind the PPA with immediate effect because DPC materially misrepresented the capabilities of the power plant (i.e., 6 hour actual ramp-up time vs. 3 hour ramp-up schedule in the PPA). However, the letter goes on to state that MSEB is "agreeable to continue the present arrangement of power and payment until disputes are resolved by the appropriate forum." We are not entirely sure what this last part means and are asking MSEB for clarification. Obviously, this letter is quite a buttress to our already-delivered PTN contending that MSEB has evidenced an intention not to be bound by the PPA. While MSEB's letter seems to state that they will still honor some aspects of the PPA, the letter adds that "payments would be subject to adjustments on the basis of determination of reasonable compensation and quantum meruit by a competent authority." We hear rumors that MSEB will approach the Maharasthra Energy Regulatory Commission (MERC) for a "how much should we pay DPC" determination. If they do so and MERC accepts jurisdiction, this would help our expropriation, political force majeure and default arguments. DPC seems to have managed to avoid a construction contractor termination in May by agreeing to extend the required completion date for Block B by 9 days. While this action does not have long-term benefits to the project, I believe that it was a considerable sign of good faith that DPC is trying to give the lenders some time to assess whether they want to begin curing project agreement defaults on an ongoing basis. Bruce	0
Re: rylander job search	j-i've seen several articles recently re enron and india and have thought of you. in some ways it's hard to realize that one of us is involved in a matter of such great significance in the affairs of a major world power. what would jim roach think. i hope that all continues well with you and your family. it's hard, i know, when work and travel are so demanding; but as we have discussed on numerous occasions there is no substitute for family and friends. i've little to report in the way of any interesting reading recently; i've been spending time on books relating to bioethics and spanish literature[actually, il've taken a liking to spanish mysteries; although i've run out of our friend perez-reverte and am getting involved in some suggested by my spanish teacher]. deborah and i are immersing ourselves in a serious summer program of hiking and gardening and just enjoying our time together; it's a great feeling to have lived with someone for 30+ years and discover new and wonderful things. hopefully you'll find occasion to share a hike with us this summer. >	0
